epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2736.3,0.52454,0.40842,0.93947,0.92822,0.83565,0.92809,0.80988,0.42099,0.24538,0.89784,0.009802,0.009802,0.009802
62,2849.12,0.52341,0.40782,0.94116,0.93039,0.85252,0.9307,0.80965,0.42172,0.24639,0.8975,0.0097987,0.0097987,0.0097987
63,2962.19,0.52553,0.40992,0.9406,0.93649,0.84105,0.93199,0.81145,0.42093,0.24467,0.89762,0.0097954,0.0097954,0.0097954
64,3075.26,0.52462,0.40676,0.9383,0.9232,0.85298,0.92438,0.80601,0.41931,0.24411,0.89773,0.0097921,0.0097921,0.0097921
65,3188.09,0.52475,0.40309,0.93979,0.85722,0.8757,0.92017,0.80239,0.41768,0.24349,0.89851,0.0097888,0.0097888,0.0097888
66,3301.28,0.51946,0.4029,0.93506,0.88347,0.87639,0.93286,0.81195,0.42027,0.23998,0.89777,0.0097855,0.0097855,0.0097855
67,3414.26,0.52543,0.41042,0.93878,0.94631,0.83438,0.92651,0.80872,0.41803,0.24127,0.89718,0.0097822,0.0097822,0.0097822
68,3527.23,0.52619,0.40474,0.94239,0.85629,0.89332,0.93412,0.81302,0.41804,0.23945,0.89673,0.0097789,0.0097789,0.0097789
69,3640.23,0.52471,0.40802,0.93679,0.91289,0.88086,0.93833,0.81724,0.4192,0.24071,0.89645,0.0097756,0.0097756,0.0097756
70,3753.17,0.52386,0.40314,0.93922,0.89484,0.87131,0.93366,0.81347,0.41892,0.23984,0.89649,0.0097723,0.0097723,0.0097723
71,3866.97,0.52214,0.40204,0.93997,0.89718,0.89291,0.9334,0.81727,0.41834,0.23855,0.89604,0.009769,0.009769,0.009769
72,3979.84,0.51764,0.40106,0.93425,0.89163,0.9022,0.93421,0.81768,0.41575,0.23869,0.89494,0.0097657,0.0097657,0.0097657
73,4092.63,0.51507,0.39769,0.93547,0.935,0.86748,0.94628,0.8245,0.4166,0.23607,0.89603,0.0097624,0.0097624,0.0097624
74,4205.48,0.52161,0.40529,0.9389,0.89973,0.8968,0.94519,0.82525,0.4177,0.23709,0.89601,0.0097591,0.0097591,0.0097591
75,4318.53,0.51884,0.39793,0.93568,0.93806,0.87771,0.95027,0.83025,0.41633,0.23558,0.89605,0.0097558,0.0097558,0.0097558
76,4431.46,0.51745,0.39887,0.93691,0.93954,0.87243,0.94489,0.82436,0.41354,0.23422,0.89505,0.0097525,0.0097525,0.0097525
77,4544.38,0.52032,0.40246,0.93809,0.89446,0.89908,0.94451,0.82425,0.41489,0.23327,0.89631,0.0097492,0.0097492,0.0097492
78,4657.06,0.5187,0.40034,0.93655,0.92344,0.87965,0.94371,0.82429,0.41663,0.23346,0.89709,0.0097459,0.0097459,0.0097459
79,4769.96,0.51822,0.40043,0.93586,0.92507,0.89373,0.95042,0.83031,0.41436,0.23216,0.8956,0.0097426,0.0097426,0.0097426
80,4882.98,0.5164,0.39543,0.93564,0.95503,0.87128,0.94629,0.82357,0.41498,0.23396,0.89592,0.0097393,0.0097393,0.0097393
81,4995.98,0.52034,0.39746,0.93854,0.94754,0.86891,0.94034,0.821,0.41471,0.23628,0.89575,0.009736,0.009736,0.009736
82,5108.92,0.51801,0.39437,0.9351,0.9465,0.88072,0.941,0.8232,0.41385,0.23119,0.89516,0.0097327,0.0097327,0.0097327
83,5221.94,0.51491,0.39656,0.93274,0.9299,0.88625,0.94515,0.82769,0.41321,0.23256,0.89424,0.0097294,0.0097294,0.0097294
84,5334.96,0.51793,0.39913,0.93675,0.92917,0.88919,0.94523,0.82701,0.41311,0.23239,0.89418,0.0097261,0.0097261,0.0097261
85,5447.75,0.5178,0.39298,0.93678,0.91321,0.89312,0.94566,0.82498,0.41247,0.23163,0.89444,0.0097228,0.0097228,0.0097228
86,5560.51,0.51526,0.39463,0.93636,0.94788,0.88153,0.94904,0.82521,0.41043,0.23155,0.8934,0.0097195,0.0097195,0.0097195
87,5673.37,0.51807,0.39468,0.93897,0.95531,0.87853,0.94799,0.82927,0.4108,0.23108,0.89347,0.0097162,0.0097162,0.0097162
88,5786.34,0.51297,0.3885,0.93199,0.9557,0.87064,0.94842,0.82861,0.41045,0.23175,0.8924,0.0097129,0.0097129,0.0097129
89,5899.28,0.51348,0.39015,0.93508,0.91347,0.90136,0.94857,0.82886,0.41107,0.23063,0.89267,0.0097096,0.0097096,0.0097096
